produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440681720,CameraCapture,-2910330649971625320,frame_captured,54102917,{"width":1536, "height":864}
1765440681786,CameraCapture,-2910330649971625320,frame_captured,54102984,{"width":1536, "height":864}
1765440681854,CameraCapture,-2910330649971625320,frame_captured,54103051,{"width":1536, "height":864}
1765440681922,CameraCapture,-2910330649971625320,frame_captured,54103118,{"width":1536, "height":864}
1765440681988,CameraCapture,-2910330649971625320,frame_captured,54103185,{"width":1536, "height":864}
1765440682054,CameraCapture,-2910330649971625320,frame_captured,54103252,{"width":1536, "height":864}
1765440682123,CameraCapture,-2910330649971625320,frame_captured,54103320,{"width":1536, "height":864}
1765440682188,CameraCapture,-2910330649971625320,frame_captured,54103387,{"width":1536, "height":864}
1765440682258,CameraCapture,-2910330649971625320,frame_captured,54103454,{"width":1536, "height":864}
1765440682323,CameraCapture,-2910330649971625320,frame_captured,54103521,{"width":1536, "height":864}
1765440682391,CameraCapture,-2910330649971625320,frame_captured,54103588,{"width":1536, "height":864}
1765440682456,CameraCapture,-2910330649971625320,frame_captured,54103655,{"width":1536, "height":864}
1765440682524,CameraCapture,-2910330649971625320,frame_captured,54103722,{"width":1536, "height":864}
1765440682592,CameraCapture,-2910330649971625320,frame_captured,54103789,{"width":1536, "height":864}
1765440682658,CameraCapture,-2910330649971625320,frame_captured,54103856,{"width":1536, "height":864}
1765440682725,CameraCapture,-2910330649971625320,frame_captured,54103923,{"width":1536, "height":864}
1765440682794,CameraCapture,-2910330649971625320,frame_captured,54103991,{"width":1536, "height":864}
1765440682860,CameraCapture,-2910330649971625320,frame_captured,54104058,{"width":1536, "height":864}
1765440682927,CameraCapture,-2910330649971625320,frame_captured,54104125,{"width":1536, "height":864}
1765440682994,CameraCapture,-2910330649971625320,frame_captured,54104192,{"width":1536, "height":864}
1765440683061,CameraCapture,-2910330649971625320,frame_captured,54104259,{"width":1536, "height":864}
1765440683128,CameraCapture,-2910330649971625320,frame_captured,54104326,{"width":1536, "height":864}
1765440683195,CameraCapture,-2910330649971625320,frame_captured,54104393,{"width":1536, "height":864}
1765440683261,CameraCapture,-2910330649971625320,frame_captured,54104460,{"width":1536, "height":864}
1765440683332,CameraCapture,-2910330649971625320,frame_captured,54104527,{"width":1536, "height":864}
1765440683398,CameraCapture,-2910330649971625320,frame_captured,54104594,{"width":1536, "height":864}
1765440683464,CameraCapture,-2910330649971625320,frame_captured,54104662,{"width":1536, "height":864}
1765440683530,CameraCapture,-2910330649971625320,frame_captured,54104729,{"width":1536, "height":864}
1765440683598,CameraCapture,-2910330649971625320,frame_captured,54104796,{"width":1536, "height":864}
1765440683670,CameraCapture,-2910330649971625320,frame_captured,54104863,{"width":1536, "height":864}
