top - 07:32:46 up 13:23,  4 users,  load average: 0.62, 1.04, 1.00
Tasks: 196 total,   1 running, 195 sleeping,   0 stopped,   0 zombie
%Cpu(s): 33.3 us,  0.0 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3991.9 total,   2059.0 free,    859.2 used,   1153.7 buff/cache     
MiB Swap:    512.0 total,    302.0 free,    210.0 used.   3132.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1112 pi        20   0   16752   5248   5120 S   0.0   0.1   0:00.00 systemd+
   1116 pi        20   0   56576  11384  11264 S   0.0   0.3   0:00.20 applet.+
   1126 pi        20   0  615076  18588  18176 S   0.0   0.5   0:01.04 pcmanfm
   1129 pi        20   0  934524  39784  33024 S   0.0   1.0   0:05.09 wf-pane+
   1146 pi        20   0  340140  13696  13440 S   0.0   0.3   0:00.07 gtk-nop
   1169 pi        20   0  238624   5632   5632 S   0.0   0.1   0:00.01 gvfsd
   1178 pi        20   0  381320   4992   4736 S   0.0   0.1   0:00.01 gvfsd-f+
   1194 pi        20   0  394424   7936   7680 S   0.0   0.2   0:00.05 xdg-des+
   1204 pi        20   0  461520   5760   5632 S   0.0   0.1   0:00.01 xdg-doc+
   1209 root      20   0    2228   1408   1408 S   0.0   0.0   0:00.00 fusermo+
   1213 pi        20   0  341652  15604  14324 S   0.0   0.4   0:00.08 xdg-des+
   1214 pi        20   0  353652   8960   8576 S   0.0   0.2   0:00.02 gvfs-ud+
   1223 pi        20   0  234364   5248   5120 S   0.0   0.1   0:00.00 gvfs-go+
   1230 pi        20   0  234244   5376   5248 S   0.0   0.1   0:00.00 gvfs-mt+
   1234 pi        20   0  235552   5504   5376 S   0.0   0.1   0:00.00 gvfs-gp+
   1239 pi        20   0  313568   6528   6272 S   0.0   0.2   0:00.48 gvfs-af+
   1246 pi        20   0  293156   7296   7168 S   0.0   0.2   0:00.03 xdg-des+
   1248 pi        20   0  312892   6784   6400 S   0.0   0.2   0:00.01 gvfsd-t+
   1250 pi        20   0  240832   6400   6144 S   0.0   0.2   0:00.00 gnome-k+
   1256 pi        20   0  240980   6656   6528 S   0.0   0.2   0:00.01 gnome-k+
   1268 pi        20   0  157596   5248   4992 S   0.0   0.1   0:00.00 menu-ca+
   1348 pi        20   0    8112   3456   3072 S   0.0   0.1   0:00.01 bash
   1520 root      20   0   19592   9472   8064 S   0.0   0.2   0:00.05 sshd
   1527 pi        20   0   20872   7372   4736 S   0.0   0.2   3:48.05 sshd
   1528 pi        20   0    8112   3968   3072 S   0.0   0.1   0:00.02 bash
  16843 root      20   0   30712   7936   6272 S   0.0   0.2   0:00.01 cupsd
  16844 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
  16845 root      20   0  178948  11392   9728 S   0.0   0.3   0:00.02 cups-br+
  19160 root       0 -20       0      0      0 I   0.0   0.0   0:00.74 kworker+
  25277 root      20   0   19592   9600   8064 S   0.0   0.2   0:00.03 sshd
  25283 pi        20   0   19852   6536   4736 S   0.0   0.2   0:00.01 sshd
  25284 pi        20   0    8112   4736   3072 S   0.0   0.1   0:00.02 bash
  30359 pi        20   0   20.8g 175756  50560 S   0.0   4.3   0:04.49 node
  30380 root      20   0       0      0      0 I   0.0   0.0   0:00.79 kworker+
  31465 root      20   0       0      0      0 I   0.0   0.0   0:00.45 kworker+
  31473 root      20   0       0      0      0 I   0.0   0.0   0:02.26 kworker+
  33200 root      20   0       0      0      0 I   0.0   0.0   0:00.60 kworker+
  33300 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker+
  33514 root      20   0       0      0      0 I   0.0   0.0   0:00.73 kworker+
  33553 root      20   0       0      0      0 I   0.0   0.0   0:01.06 kworker+
  34529 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  35500 root      20   0       0      0      0 I   0.0   0.0   0:01.75 kworker+
  36585 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  36624 root      20   0       0      0      0 I   0.0   0.0   0:00.96 kworker+
  36626 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  36628 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  37193 root      20   0  301536  18428  15612 S   0.0   0.5   0:00.04 package+
  37657 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  37671 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  37722 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  38674 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  39353 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  39623 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  39683 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  39708 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  39713 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  40702 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  40714 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  40715 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
  40753 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  40762 pi        20   0    6800   2944   2688 S   0.0   0.1   0:00.01 bash
  40764 pi        20   0   11704   4608   2560 R   0.0   0.1   0:00.00 top
